AB,AFIB,AFL,B,IVR,N,NOD,P,PREX,SBR,SVTA,T,VFL,VT
0.0,48.28660436137071,41.37931034482759,25.773195876288657,40.0,87.38559490648628,0.0,78.11320754716982,11.538461538461538,48.61111111111111,14.285714285714285,23.91304347826087,16.666666666666664,0.0
0.0,47.35202492211838,37.93103448275862,29.896907216494846,60.0,88.3008356545961,12.5,77.35849056603774,0.0,52.77777777777778,14.285714285714285,17.391304347826086,0.0,0.0
33.33333333333333,49.532710280373834,44.827586206896555,22.68041237113402,40.0,86.35097493036211,0.0,78.11320754716982,3.8461538461538463,58.333333333333336,28.57142857142857,28.26086956521739,66.66666666666666,0.0
33.33333333333333,46.41744548286604,24.137931034482758,29.896907216494846,40.0,88.46000795861521,12.5,77.35849056603774,30.76923076923077,52.77777777777778,0.0,23.91304347826087,0.0,0.0
0.0,48.598130841121495,41.37931034482759,25.773195876288657,40.0,87.42538798249105,0.0,83.39622641509435,15.384615384615385,51.388888888888886,14.285714285714285,15.217391304347828,33.33333333333333,50.0
0.0,47.97507788161994,37.93103448275862,21.649484536082475,60.0,88.141663350577,0.0,80.37735849056604,19.230769230769234,56.94444444444444,14.285714285714285,6.521739130434782,33.33333333333333,0.0
33.33333333333333,48.90965732087228,37.93103448275862,28.865979381443296,20.0,88.42021488261042,12.5,76.9811320754717,3.8461538461538463,56.94444444444444,0.0,19.565217391304348,0.0,25.0
33.33333333333333,49.84423676012461,17.24137931034483,35.051546391752574,80.0,87.26621567847195,0.0,77.73584905660378,11.538461538461538,44.44444444444444,14.285714285714285,21.73913043478261,33.33333333333333,0.0
66.66666666666666,49.532710280373834,41.37931034482759,27.835051546391753,40.0,86.11221647433347,0.0,82.64150943396227,19.230769230769234,58.333333333333336,0.0,17.391304347826086,0.0,25.0
0.0,43.925233644859816,27.586206896551722,28.865979381443296,40.0,87.06725029844807,0.0,80.0,7.6923076923076925,48.61111111111111,14.285714285714285,13.043478260869565,16.666666666666664,25.0
0.0,43.925233644859816,34.48275862068966,36.08247422680412,40.0,88.46000795861521,0.0,82.26415094339623,7.6923076923076925,54.166666666666664,0.0,15.217391304347828,16.666666666666664,25.0
0.0,45.794392523364486,41.37931034482759,24.742268041237114,80.0,86.98766414643852,0.0,82.64150943396227,11.538461538461538,54.166666666666664,42.857142857142854,21.73913043478261,0.0,0.0
33.33333333333333,47.66355140186916,27.586206896551722,24.742268041237114,100.0,87.70393951452448,0.0,79.24528301886792,11.538461538461538,45.83333333333333,14.285714285714285,19.565217391304348,0.0,0.0
33.33333333333333,47.35202492211838,37.93103448275862,21.649484536082475,20.0,86.98766414643852,0.0,79.24528301886792,23.076923076923077,52.77777777777778,28.57142857142857,13.043478260869565,33.33333333333333,25.0
33.33333333333333,49.532710280373834,31.03448275862069,26.804123711340207,80.0,86.94787107043375,0.0,77.73584905660378,15.384615384615385,54.166666666666664,0.0,13.043478260869565,0.0,0.0
33.33333333333333,49.532710280373834,44.827586206896555,25.773195876288657,40.0,88.53959411062475,0.0,82.26415094339623,11.538461538461538,52.77777777777778,0.0,17.391304347826086,16.666666666666664,0.0
33.33333333333333,49.84423676012461,41.37931034482759,28.865979381443296,80.0,88.73855949064863,0.0,80.0,11.538461538461538,56.94444444444444,14.285714285714285,17.391304347826086,0.0,0.0
33.33333333333333,44.85981308411215,31.03448275862069,20.618556701030926,40.0,89.17628332670115,50.0,81.50943396226415,3.8461538461538463,59.72222222222222,14.285714285714285,15.217391304347828,0.0,0.0
33.33333333333333,52.024922118380054,37.93103448275862,24.742268041237114,80.0,88.06207719856745,12.5,81.50943396226415,11.538461538461538,59.72222222222222,42.857142857142854,17.391304347826086,16.666666666666664,0.0
0.0,47.35202492211838,24.137931034482758,19.587628865979383,20.0,88.18145642658178,0.0,80.37735849056604,11.538461538461538,44.44444444444444,42.857142857142854,17.391304347826086,50.0,0.0
33.33333333333333,41.1214953271028,20.689655172413794,24.742268041237114,60.0,87.14683645045763,0.0,76.22641509433963,15.384615384615385,44.44444444444444,28.57142857142857,34.78260869565217,16.666666666666664,0.0
0.0,45.17133956386293,34.48275862068966,28.865979381443296,40.0,86.66931953840032,0.0,77.35849056603774,7.6923076923076925,73.61111111111111,14.285714285714285,32.608695652173914,66.66666666666666,0.0
0.0,46.728971962616825,24.137931034482758,35.051546391752574,40.0,87.74373259052925,0.0,86.0377358490566,11.538461538461538,55.55555555555556,14.285714285714285,15.217391304347828,0.0,25.0
0.0,49.84423676012461,44.827586206896555,25.773195876288657,40.0,87.58456028651015,12.5,74.71698113207546,11.538461538461538,40.27777777777778,14.285714285714285,19.565217391304348,0.0,25.0
0.0,47.35202492211838,24.137931034482758,28.865979381443296,60.0,87.42538798249105,25.0,80.75471698113208,11.538461538461538,55.55555555555556,0.0,15.217391304347828,16.666666666666664,25.0
0.0,47.97507788161994,24.137931034482758,21.649484536082475,20.0,87.02745722244329,0.0,79.62264150943396,7.6923076923076925,44.44444444444444,42.857142857142854,17.391304347826086,0.0,0.0
33.33333333333333,45.794392523364486,34.48275862068966,28.865979381443296,100.0,88.34062873060088,0.0,76.22641509433963,3.8461538461538463,55.55555555555556,0.0,17.391304347826086,16.666666666666664,0.0
33.33333333333333,46.728971962616825,41.37931034482759,22.68041237113402,40.0,88.02228412256268,12.5,78.49056603773586,7.6923076923076925,52.77777777777778,28.57142857142857,26.08695652173913,33.33333333333333,25.0
