AB,AFIB,AFL,B,IVR,N,NOD,P,PREX,SBR,SVTA,T,VFL,VT
33.33333333333333,64.48598130841121,31.03448275862069,54.63917525773196,60.0,96.85634699562277,12.5,94.33962264150944,3.8461538461538463,97.22222222222221,28.57142857142857,36.95652173913043,66.66666666666666,25.0
0.0,60.12461059190031,37.93103448275862,65.97938144329896,40.0,96.97572622363708,0.0,96.22641509433963,15.384615384615385,95.83333333333334,42.857142857142854,28.26086956521739,33.33333333333333,25.0
66.66666666666666,58.87850467289719,31.03448275862069,57.73195876288659,40.0,96.97572622363708,0.0,95.84905660377359,11.538461538461538,95.83333333333334,42.857142857142854,45.65217391304348,66.66666666666666,25.0
0.0,66.04361370716511,31.03448275862069,60.824742268041234,40.0,97.29407083167528,12.5,93.9622641509434,7.6923076923076925,94.44444444444444,14.285714285714285,26.08695652173913,50.0,50.0
33.33333333333333,55.45171339563863,24.137931034482758,62.88659793814433,60.0,97.13489852765619,0.0,95.47169811320755,11.538461538461538,95.83333333333334,14.285714285714285,36.95652173913043,66.66666666666666,50.0
33.33333333333333,61.6822429906542,34.48275862068966,58.76288659793815,60.0,97.57262236370872,12.5,94.33962264150944,19.230769230769234,94.44444444444444,42.857142857142854,30.434782608695656,50.0,0.0
0.0,63.2398753894081,34.48275862068966,57.73195876288659,60.0,97.17469160366096,12.5,95.47169811320755,7.6923076923076925,98.61111111111111,42.857142857142854,39.130434782608695,66.66666666666666,25.0
0.0,57.009345794392516,20.689655172413794,60.824742268041234,20.0,96.89614007162753,0.0,95.84905660377359,11.538461538461538,97.22222222222221,28.57142857142857,28.26086956521739,16.666666666666664,25.0
0.0,63.2398753894081,27.586206896551722,55.670103092783506,0.0,96.49820931157979,0.0,96.22641509433963,11.538461538461538,93.05555555555556,28.57142857142857,45.65217391304348,50.0,75.0
33.33333333333333,55.7632398753894,20.689655172413794,61.855670103092784,40.0,97.17469160366096,0.0,94.33962264150944,7.6923076923076925,90.27777777777779,42.857142857142854,36.95652173913043,16.666666666666664,25.0
0.0,61.059190031152646,20.689655172413794,51.546391752577314,60.0,98.05013927576601,25.0,98.49056603773585,15.384615384615385,94.44444444444444,28.57142857142857,36.95652173913043,16.666666666666664,75.0
0.0,64.48598130841121,27.586206896551722,59.79381443298969,60.0,96.458416235575,0.0,95.84905660377359,19.230769230769234,95.83333333333334,28.57142857142857,34.78260869565217,50.0,0.0
0.0,63.55140186915887,31.03448275862069,59.79381443298969,60.0,97.37365698368484,12.5,98.49056603773585,7.6923076923076925,98.61111111111111,57.14285714285714,30.434782608695656,50.0,25.0
33.33333333333333,63.862928348909655,20.689655172413794,49.48453608247423,20.0,97.4532431356944,12.5,94.33962264150944,11.538461538461538,98.61111111111111,28.57142857142857,39.130434782608695,33.33333333333333,25.0
0.0,61.059190031152646,20.689655172413794,67.0103092783505,60.0,96.65738161559888,12.5,93.58490566037736,7.6923076923076925,95.83333333333334,71.42857142857143,36.95652173913043,66.66666666666666,25.0
0.0,62.616822429906534,27.586206896551722,48.45360824742268,40.0,96.57779546358934,0.0,97.35849056603773,19.230769230769234,98.61111111111111,42.857142857142854,32.608695652173914,0.0,50.0
33.33333333333333,61.6822429906542,41.37931034482759,58.76288659793815,40.0,97.41345005968961,25.0,93.9622641509434,0.0,94.44444444444444,28.57142857142857,32.608695652173914,16.666666666666664,25.0
0.0,60.747663551401864,44.827586206896555,54.63917525773196,40.0,97.69200159172304,12.5,95.09433962264151,11.538461538461538,95.83333333333334,28.57142857142857,28.26086956521739,50.0,25.0
0.0,61.99376947040498,34.48275862068966,62.88659793814433,60.0,96.81655391961799,0.0,95.09433962264151,7.6923076923076925,93.05555555555556,0.0,41.30434782608695,66.66666666666666,75.0
33.33333333333333,63.2398753894081,24.137931034482758,58.76288659793815,0.0,96.85634699562277,12.5,95.47169811320755,11.538461538461538,98.61111111111111,28.57142857142857,39.130434782608695,66.66666666666666,25.0
33.33333333333333,61.6822429906542,34.48275862068966,65.97938144329896,20.0,96.93593314763231,0.0,93.20754716981132,15.384615384615385,97.22222222222221,28.57142857142857,34.78260869565217,33.33333333333333,25.0
33.33333333333333,57.63239875389408,31.03448275862069,62.88659793814433,40.0,96.85634699562277,0.0,93.58490566037736,15.384615384615385,98.61111111111111,28.57142857142857,36.95652173913043,66.66666666666666,75.0
0.0,60.12461059190031,41.37931034482759,59.79381443298969,20.0,97.01551929964187,0.0,94.33962264150944,19.230769230769234,95.83333333333334,0.0,23.91304347826087,50.0,75.0
