AB,AFIB,AFL,B,IVR,N,NOD,P,PREX,SBR,SVTA,T,VFL,VT
,58.69565217391305,50.0,0.0,,89.02394106813996,0.0,92.91044776119402,0.0,97.22222222222221,,30.0,100.0,100.0
0.0,50.27932960893855,60.0,,,88.71624121346652,33.33333333333333,97.95918367346938,,95.58823529411765,37.5,100.0,100.0,100.0
50.0,53.771289537712896,100.0,60.0,50.0,91.20709602776707,,92.36363636363636,16.666666666666664,100.0,33.33333333333333,,100.0,50.0
0.0,47.16981132075472,40.0,50.0,,93.32247557003257,,90.39145907473309,0.0,100.0,100.0,29.166666666666668,100.0,100.0
,37.76223776223776,66.66666666666666,36.17021276595745,0.0,95.74468085106383,,92.7536231884058,,94.52054794520548,,17.647058823529413,66.66666666666666,100.0
0.0,40.14814814814815,50.0,40.18691588785047,,95.64220183486239,100.0,95.38461538461539,,87.5,0.0,24.358974358974358,66.66666666666666,100.0
0.0,69.12442396313364,25.925925925925924,50.0,33.33333333333333,88.61459100957995,28.57142857142857,97.58064516129032,40.0,98.48484848484848,75.0,31.03448275862069,100.0,100.0
,63.46863468634686,100.0,43.63636363636363,100.0,88.13559322033898,0.0,90.97472924187726,,100.0,66.66666666666666,34.146341463414636,100.0,66.66666666666666
50.0,57.26027397260274,12.244897959183673,44.776119402985074,100.0,92.78984022941418,40.0,97.05882352941177,12.0,95.77464788732394,75.0,28.37837837837838,62.5,33.33333333333333
,60.0,36.84210526315789,42.22222222222222,100.0,90.50343249427918,,87.2852233676976,,97.01492537313433,28.57142857142857,38.0,100.0,100.0
0.0,60.49382716049383,47.368421052631575,0.0,37.5,89.40520446096654,0.0,97.63779527559055,,97.05882352941177,50.0,35.294117647058826,80.0,100.0
,69.0909090909091,8.433734939759036,33.33333333333333,66.66666666666666,88.04869052010328,0.0,91.38576779026218,0.0,100.0,100.0,20.8955223880597,100.0,
,68.24644549763033,16.666666666666664,56.00000000000001,100.0,88.26512133285041,28.57142857142857,93.91634980988593,19.230769230769234,100.0,60.0,,100.0,50.0
20.0,67.27941176470588,37.5,41.891891891891895,36.36363636363637,91.32455460883037,3.0303030303030303,87.2852233676976,50.0,97.14285714285714,75.0,25.0,100.0,50.0
,66.82242990654206,39.130434782608695,100.0,,88.46860080793243,8.571428571428571,90.71428571428571,,98.59154929577466,,41.30434782608695,100.0,60.0
0.0,71.68949771689498,33.33333333333333,24.031007751937985,,90.97627382341501,0.0,98.4126984126984,,98.4126984126984,7.6923076923076925,,100.0,100.0
